configuration_id,fast_window,slow_window,signal_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
f012_s026_m006_b0p00025,12,26,6,0.00025,7,f008_s026_m006_b0p00025|f012_s020_m006_b0p00025|f012_s026_m006_b0p00000|f012_s026_m006_b0p00050|f012_s026_m009_b0p00025|f012_s032_m006_b0p00025|f016_s026_m006_b0p00025,-0.652598134483,4822,-0.555440519848,-1.09057782419,0.267713592571,0,0,4830,0.235695868752,1278.28571429
f012_s026_m006_b0p00050,12,26,6,0.0005,7,f008_s026_m006_b0p00050|f012_s020_m006_b0p00050|f012_s026_m006_b0p00025|f012_s026_m006_b0p00100|f012_s026_m009_b0p00050|f012_s032_m006_b0p00050|f016_s026_m006_b0p00050,-0.387065697997,2798,-0.80165928865,-0.952076851168,0.214692622031,0,0,3250,0.317372376428,1308.57142857
f012_s026_m006_b0p00100,12,26,6,0.001,6,f008_s026_m006_b0p00100|f012_s020_m006_b0p00100|f012_s026_m006_b0p00050|f012_s026_m009_b0p00100|f012_s032_m006_b0p00100|f016_s026_m006_b0p00100,-0.952076851168,1006,-0.682032057604,-0.901941854655,0.173518616422,0,0,1478,0.299624619619,894.333333333
f012_s026_m009_b0p00000,12,26,9,0,7,f008_s026_m009_b0p00000|f012_s020_m009_b0p00000|f012_s026_m006_b0p00000|f012_s026_m009_b0p00025|f012_s026_m012_b0p00000|f012_s032_m009_b0p00000|f016_s026_m009_b0p00000,-0.450267220763,5925,-0.44578149527,-0.96107711418,0.258851889863,0,0.142857142857,5575,0.224167275769,741.285714286
f012_s026_m009_b0p00025,12,26,9,0.00025,8,f008_s026_m009_b0p00025|f012_s020_m009_b0p00025|f012_s026_m006_b0p00025|f012_s026_m009_b0p00000|f012_s026_m009_b0p00050|f012_s026_m012_b0p00025|f012_s032_m009_b0p00025|f016_s026_m009_b0p00025,-0.413263368012,4830,-0.384201433926,-0.910261718438,0.2563019416,0,0.375,4719.5,0.20117763347,757
f012_s026_m009_b0p00050,12,26,9,0.0005,8,f008_s026_m009_b0p00050|f012_s020_m009_b0p00050|f012_s026_m006_b0p00050|f012_s026_m009_b0p00025|f012_s026_m009_b0p00100|f012_s026_m012_b0p00050|f012_s032_m009_b0p00050|f016_s026_m009_b0p00050,-0.318135647089,3318,-0.428644022794,-0.737349354153,0.197763598128,0,0.25,3145,0.189527865236,1025.5
f012_s026_m009_b0p00100,12,26,9,0.001,7,f008_s026_m009_b0p00100|f012_s020_m009_b0p00100|f012_s026_m006_b0p00100|f012_s026_m009_b0p00050|f012_s026_m012_b0p00100|f012_s032_m009_b0p00100|f016_s026_m009_b0p00100,-0.629398348047,1570,-0.450940516143,-1.03388925637,0.269663796517,0,0,1892,0.251441265606,865.142857143
f012_s026_m012_b0p00000,12,26,12,0,6,f008_s026_m012_b0p00000|f012_s020_m012_b0p00000|f012_s026_m009_b0p00000|f012_s026_m012_b0p00025|f012_s032_m012_b0p00000|f016_s026_m012_b0p00000,-0.341386699436,5241,-0.335678623735,-0.450267220763,0.144055649542,0,0.5,5344,0.140838705204,579
f012_s026_m012_b0p00025,12,26,12,0.00025,7,f008_s026_m012_b0p00025|f012_s020_m012_b0p00025|f012_s026_m009_b0p00025|f012_s026_m012_b0p00000|f012_s026_m012_b0p00050|f012_s032_m012_b0p00025|f016_s026_m012_b0p00025,-0.225399276638,4617,-0.298854305199,-0.535163967106,0.189129404674,0,0.571428571429,4639,0.167489850536,638.571428571
f012_s026_m012_b0p00050,12,26,12,0.0005,7,f008_s026_m012_b0p00050|f012_s020_m012_b0p00050|f012_s026_m009_b0p00050|f012_s026_m012_b0p00025|f012_s026_m012_b0p00100|f012_s032_m012_b0p00050|f016_s026_m012_b0p00050,-0.0787301145075,3492,-0.225399276638,-0.415206961546,0.185757862701,0.142857142857,0.571428571429,3318,0.204077586717,934.714285714
