configuration_id,short_window,long_window,neutral_band,symbol,calendar_year,observations,position_eligible_observations,gross_return,net_return,net_annualized_volatility,net_sharpe_ratio,net_max_drawdown,turnover,long_exposure_pct,short_exposure_pct,neutral_exposure_pct
s008_l096_d0p0005,8,96,0.0005,SPY,2020,6554,6458,0.46120904346,0.430415880046,0.326676644169,1.25708971653,-0.120491696265,213,60.7463611025,35.2121399814,4.04149891607
s008_l096_d0p0005,8,96,0.0005,SPY,2021,6540,6540,-0.0699739675619,-0.091303039031,0.123502836881,-0.714898340584,-0.128429472063,232,64.3119266055,31.4678899083,4.22018348624
s008_l096_d0p0005,8,96,0.0005,SPY,2022,6514,6514,0.0737921238025,0.0476963876869,0.224512027735,0.321022800322,-0.115548500827,246,45.363831747,51.3816395456,3.2545287074
s008_l096_d0p0005,8,96,0.0005,SPY,2023,6476,6476,0.019173043046,-0.00678727850829,0.12584779546,0.00816417348113,-0.119645530578,258,56.9332921557,37.9400864731,5.12662137122
s008_l096_d0p0005,8,96,0.0005,SPY,2024,6516,6516,-0.0474866194441,-0.0700768453302,0.120822866356,-0.544364154734,-0.173748842239,240,58.9318600368,35.8195211786,5.24861878453
s008_l096_d0p0005,8,96,0.0005,SPY,2025,6464,6464,0.00457174672297,-0.0180784612974,0.191437017143,-0.000793772792455,-0.14186762398,228,57.8589108911,37.4690594059,4.67202970297
s008_l096_d0p0010,8,96,0.001,SPY,2020,6554,6458,0.409764784408,0.380603956037,0.31983590995,1.16642379114,-0.126466260464,209,59.0895013936,33.5862496129,7.3242489935
s008_l096_d0p0010,8,96,0.001,SPY,2021,6540,6540,-0.0786966976091,-0.100902740574,0.119797107722,-0.829585672271,-0.138779981446,244,61.0703363914,29.0519877676,9.87767584098
s008_l096_d0p0010,8,96,0.001,SPY,2022,6514,6514,0.10235049367,0.0751300439711,0.221149959479,0.440079905707,-0.11420648985,250,43.5062941357,49.8925391465,6.60116671784
s008_l096_d0p0010,8,96,0.001,SPY,2023,6476,6476,0.0237828904883,-0.00249100626155,0.121408758151,0.0399186654086,-0.119787941403,260,53.8449660284,35.6238418777,10.5311920939
s008_l096_d0p0010,8,96,0.001,SPY,2024,6516,6516,-0.0609620742864,-0.0830489160379,0.118060323008,-0.679537089732,-0.180132518673,238,55.985267035,32.5813382443,11.4333947207
s008_l096_d0p0010,8,96,0.001,SPY,2025,6464,6464,0.00455680829431,-0.0178909628274,0.188091548248,-0.00315860704846,-0.14186762398,226,55.4610148515,34.6379950495,9.90099009901
s008_l096_d0p0020,8,96,0.002,SPY,2020,6554,6458,0.369942618586,0.343083955487,0.313404717703,1.09596133361,-0.126307116216,198,55.2493031898,30.613192939,14.1375038712
s008_l096_d0p0020,8,96,0.002,SPY,2021,6540,6540,-0.096315215388,-0.118096597652,0.114707387225,-1.04023151883,-0.153400566146,244,53.501529052,25.2293577982,21.2691131498
s008_l096_d0p0020,8,96,0.002,SPY,2022,6514,6514,0.0824124682099,0.0566381580165,0.216072005206,0.364557243728,-0.124006489518,241,40.9732883021,46.9603929997,12.0663186982
s008_l096_d0p0020,8,96,0.002,SPY,2023,6476,6476,-0.0209097846815,-0.0436516263352,0.115637769497,-0.332678429629,-0.127531920937,235,48.8727609636,30.9295861643,20.1976528721
s008_l096_d0p0020,8,96,0.002,SPY,2024,6516,6516,-0.0308150452688,-0.0527596946244,0.1122204095,-0.429688244759,-0.155395095624,229,50,28.1767955801,21.8232044199
s008_l096_d0p0020,8,96,0.002,SPY,2025,6464,6464,0.0231421357455,0.00107718675929,0.182581704417,0.0973452736267,-0.14186762398,218,50.3403465347,29.5482673267,20.1113861386
s016_l032_d0p0000,16,32,0,SPY,2020,6554,6522,0.0831797366808,0.0376763500582,0.329342615221,0.278186568252,-0.247121635985,429,58.6629868139,41.3370131861,0
s016_l032_d0p0000,16,32,0,SPY,2021,6540,6540,-0.0127414964075,-0.0531642332765,0.126904255517,-0.367833089682,-0.172350291616,418,60.5657492355,39.4342507645,0
s016_l032_d0p0000,16,32,0,SPY,2022,6514,6514,0.0658376817804,0.0236370907372,0.226932034595,0.217048844408,-0.239239247969,404,48.0042984341,51.9957015659,0
s016_l032_d0p0000,16,32,0,SPY,2023,6476,6476,0.0159389669942,-0.0250810134213,0.128792898603,-0.135151540637,-0.133391755536,412,55.049413218,44.950586782,0
s016_l032_d0p0000,16,32,0,SPY,2024,6516,6516,-0.0446778791167,-0.0837993583781,0.123792464731,-0.649165113435,-0.123493353116,418,57.5659914058,42.4186617557,0.0153468385513
s016_l032_d0p0000,16,32,0,SPY,2025,6464,6464,-0.231874401374,-0.265824041912,0.193935709598,-1.51795940336,-0.313184987378,452,56.9152227723,43.0693069307,0.0154702970297
s016_l032_d0p0005,16,32,0.0005,SPY,2020,6554,6522,0.0828537699053,0.0382082967135,0.319617189413,0.278374708452,-0.207820107104,421,51.1959521619,35.3112542165,13.4927936216
s016_l032_d0p0005,16,32,0.0005,SPY,2021,6540,6540,0.0676071375474,0.0265688961852,0.114674346584,0.28639402498,-0.128737324344,392,48.9449541284,29.6024464832,21.4525993884
s016_l032_d0p0005,16,32,0.0005,SPY,2022,6514,6514,0.0877314701293,0.0450865693353,0.217569580736,0.312713159961,-0.259494658255,400,43.3527786306,47.1139085048,9.5333128646
s016_l032_d0p0005,16,32,0.0005,SPY,2023,6476,6476,0.122001169707,0.0784342913663,0.116409033631,0.714461548559,-0.09299200285,396,46.5719579988,35.994441013,17.4336009883
s016_l032_d0p0005,16,32,0.0005,SPY,2024,6516,6516,0.0347096753295,-0.00606060706541,0.112355423733,0.00158470897,-0.0783554205416,402,46.2093308778,32.7041129527,21.0865561694
s016_l032_d0p0005,16,32,0.0005,SPY,2025,6464,6464,-0.192715322793,-0.224527055391,0.18294127046,-1.31728214357,-0.272973998239,402,47.1844059406,33.0754950495,19.7400990099
