configuration_id,short_window,long_window,neutral_band,symbol,regime,observations,position_eligible_observations,net_return,net_annualized_volatility,net_sharpe_ratio,invested_exposure_pct,long_exposure_pct,short_exposure_pct,neutral_exposure_pct,turnover
s016_l064_d0p0020,16,64,0.002,SPY,high_volatility,7840,7814,-0.30083608536,0.36255674748,-0.644776424624,88.2518556437,36.3834143844,51.8684412593,11.7481443563,298
s016_l064_d0p0020,16,64,0.002,SPY,normal_volatility,31224,31186,0.268239079661,0.101599422208,0.541594768313,67.6553581735,43.7407811197,23.9145770538,32.3446418265,1053
s016_l096_d0p0000,16,96,0,SPY,high_volatility,7840,7814,-0.202822777052,0.384225009781,-0.302147944207,100,40.120296903,59.879703097,0,260
s016_l096_d0p0000,16,96,0,SPY,normal_volatility,31224,31154,0.393413255327,0.119221979281,0.643529087505,100,64.5117801887,35.4882198113,0,843
s016_l096_d0p0005,16,96,0.0005,SPY,high_volatility,7840,7814,-0.162533873255,0.38184521091,-0.198514211873,97.3253135398,38.8277450729,58.4975684669,2.6746864602,263
s016_l096_d0p0005,16,96,0.0005,SPY,normal_volatility,31224,31154,0.358354616784,0.115508484122,0.614153635688,94.2864479682,61.5779675162,32.7084804519,5.71355203184,844
s016_l096_d0p0010,16,96,0.001,SPY,high_volatility,7840,7814,-0.19816660056,0.378895695545,-0.298899468015,94.7274123368,37.6375735859,57.089838751,5.27258766317,265
s016_l096_d0p0010,16,96,0.001,SPY,normal_volatility,31224,31154,0.320571984546,0.112315121227,0.575673692009,88.8649932593,58.6313154009,30.2336778584,11.1350067407,848
s016_l096_d0p0020,16,96,0.002,SPY,high_volatility,7840,7814,-0.139263792547,0.373017807563,-0.150718521528,89.8387509598,35.5387765549,54.2999744049,10.1612490402,248
s016_l096_d0p0020,16,96,0.002,SPY,normal_volatility,31224,31154,0.331705040682,0.105634068526,0.621869928656,77.2388778327,51.9259164152,25.3129614175,22.7611221673,817
