symbol,bar_number,local_time,observations,sessions,mean_return,standard_deviation,mean_absolute_return,median_absolute_return,mean_squared_return,mean_high_low_log_range,mean_volume,median_volume,mean_trade_count,mean_volume_share,mean_trade_count_share,mean_absolute_return_share,mean_squared_return_share,opening_bar_rate,closing_bar_rate,average_session_length
IWM,11,12:00:00,1508,1508,-1.0562398718542257e-05,0.002160853790014251,0.0014679849242770619,0.0010787336078981191,4.666304320527404e-06,0.002945585451213836,793720.4867374005,656536.0,6072.820291777189,0.027784532121115604,0.027561833733999088,0.03281130962763896,0.02592550370525465,0.0,0.0,25.90450928381963
IWM,12,12:15:00,1508,1508,-4.1635651996328944e-06,0.0021131285020536974,0.0013990081147806682,0.000984957663050956,4.462368319194862e-06,0.002785678854971566,741565.6936339523,620583.5,5642.184350132626,0.02604923632820904,0.025619022782004133,0.030788453676030777,0.023318767501616797,0.0,0.0,25.90450928381963
IWM,13,12:30:00,1508,1508,2.0840814076613826e-05,0.002031062985290728,0.001359491388696934,0.0010061676854262736,4.122915634808997e-06,0.0027099916045619714,713899.8687002653,589400.0,5539.742042440318,0.025241140273680827,0.025137357486557512,0.030141292692837548,0.022284384223675853,0.0,0.0,25.90450928381963
IWM,14,12:45:00,1508,1508,-1.6154361769743717e-05,0.0021107015442044853,0.0013367337217123265,0.0009448661018849336,4.452367687622854e-06,0.002671490096724171,699549.4310344828,570342.5,5423.978779840849,0.024878574675858623,0.024837591833475395,0.029346664007823018,0.021145114895802068,0.0,0.007957559681697613,25.90450928381963
IWM,15,13:00:00,1496,1496,2.5135757661027754e-05,0.0020017374684134976,0.0013758627104415836,0.0009857492916998112,4.004906254316846e-06,0.0027919887854995305,728117.7894385026,598508.5,5667.855614973262,0.025342851022474674,0.025274123670705053,0.030254186355597366,0.02315789569277728,0.0,0.0,26.0
IWM,16,13:15:00,1496,1496,-6.126898341474411e-05,0.0024701838546331172,0.001414325078061849,0.000994441126782597,6.101483415171395e-06,0.002691329808242033,691498.6905080214,562141.5,5319.909090909091,0.02395506953263611,0.02371656601181079,0.03023182143797599,0.02295822899538716,0.0,0.0,26.0
IWM,17,13:30:00,1496,1496,2.4172722565205492e-05,0.0020102083791696066,0.0013408690316409312,0.0009423485634205697,4.03882088661724e-06,0.002617900143718936,708967.4284759358,593966.0,5500.841577540107,0.0246163672239397,0.024684390006943557,0.029271586789348093,0.022005753114843794,0.0,0.0,26.0
IWM,18,13:45:00,1496,1496,-1.8851242941418084e-05,0.0018740503926609313,0.0012266046754865099,0.000838110210177323,3.510072606645012e-06,0.002495922332075957,692247.354946524,567971.0,5278.050802139038,0.024074597614705734,0.023706860362905608,0.026556031636975192,0.017692995595045197,0.0,0.0,26.0
IWM,19,14:00:00,1496,1496,-5.917004207521878e-05,0.002370976879705606,0.0015215529892589894,0.0010235616175169326,5.621274749846628e-06,0.0030048451894699154,835875.4879679144,647540.0,6514.227272727273,0.028904652765220185,0.02875694323208099,0.03267145427878117,0.027578235717755317,0.0,0.0,26.0
IWM,20,14:15:00,1496,1496,4.487833323508255e-05,0.0021443072527076515,0.0014393110774032147,0.0009719962314815866,4.596994093571949e-06,0.002728999354276716,765143.8201871658,639621.5,5847.870320855615,0.026875244252823893,0.026240301964682727,0.03126066011481596,0.025160588040488815,0.0,0.0,26.0
